rep,method,mspe_base,mspe_perturbed,mspe_ratio
107,CEM.W,13187.232703600563,5363.7630227097725,0.40673908948655185
108,CEM.W,17266.034329876118,24807.67882606502,1.436790773845462
109,CEM.W,8350.937976369874,34326.487107981884,4.110494797723728
110,CEM.W,8334.659916000559,47794.83031067417,5.73446676797448
111,CEM.W,35182.988072144,19832.41244238461,0.5636932372462944
112,CEM.W,5219.115612751716,683.6756759287842,0.13099454517895312
113,CEM.W,8683.248936268144,103127.42877954902,11.876594755772459
114,CEM.W,29492.126616833648,29605.543025671082,1.0038456504107336
115,CEM.W,4266.277547129103,8110.630383758655,1.9011023765241253
116,CEM.W,6128.517909670884,2851.29863883732,0.46525092703701365
117,CEM.W,34761.90922534507,25687.485807829395,0.7389549763020647
118,CEM.W,11398.148444435998,97670.88480848997,8.569013229176532
119,CEM.W,12.410147309849183,31694.687398621405,2553.9332134653428
120,CEM.W,580.8473228818129,11345.876215083501,19.533319287402634
121,CEM.W,10739.275863850084,429.8371463573645,0.04002477930604771
122,CEM.W,1176.2703489290493,42348.766044853095,36.00257889983377
123,CEM.W,11647.900426692875,22867.435325221486,1.9632237989275216
124,CEM.W,420.9559355849599,14212.357497881203,33.76210262513992
125,CEM.W,13048.637350318479,60593.2010660042,4.643642047767179
126,CEM.W,11453.944642228378,877.8617035300634,0.07664274020441524
127,CEM.W,8012.002437938242,12479.209195189216,1.5575643282505711
128,CEM.W,301.46915984961794,44.211595050097564,0.14665379063036385
129,CEM.W,44417.17194599569,57596.674071344074,1.2967208750114165
130,CEM.W,3143.2800193380226,31172.669016272223,9.917242124307212
131,CEM.W,14.75963282797117,61464.76567393138,4164.383111038421
132,CEM.W,4375.869111736138,9315.439856858668,2.128820496909868
133,CEM.W,48.913650100386796,11031.12033563424,225.52232992211327
134,CEM.W,20361.69437477113,40349.163018882224,1.9816210908693475
135,CEM.W,15075.80076305277,19141.03199343492,1.2696527563792879
136,CEM.W,1221.5364817932625,16476.824402886537,13.488606069871876
137,CEM.W,361.17678472970863,59712.9557997688,165.3288869174019
138,CEM.W,20740.692034171723,9592.815282577918,0.4625118229793438
139,CEM.W,126.96732686320912,52057.03088188457,410.00336203005435
140,CEM.W,1423.1830798955805,2492.171206930599,1.751124814604633
141,CEM.W,3742.2915264437306,71044.3019960894,18.98417092684445
142,CEM.W,35.410745846705794,69023.99825846459,1949.2387581236385
143,CEM.W,194.66359938133849,52155.7030828964,267.9273539000242
144,CEM.W,313.47464049856535,3381.9372819484556,10.78855143296331
145,CEM.W,22848.870255160302,775.7320763879129,0.033950565945934146
146,CEM.W,8786.249030661103,79551.87263386865,9.054133607670227
147,CEM.W,9592.117630745748,20367.502146320785,2.1233582541811775
148,CEM.W,5271.889840162862,1729.2010244003925,0.32800401313904787
149,CEM.W,5790.074896653281,31069.38060207519,5.365972143129546
150,CEM.W,6268.450655390885,10886.528455450047,1.7367175804578763
151,CEM.W,3185.3942801721223,741.2964236321928,0.232717321132421
152,CEM.W,5593.363954700715,1380.7011288803471,0.24684628786224308
153,CEM.W,4231.879768755616,399.58448628019585,0.09442245718566188
154,CEM.W,7053.82434729374,46309.435627093655,6.565152936486243
155,CEM.W,31320.279817298902,600.886339146202,0.019185216181061025
156,CEM.W,28914.17901683106,10390.367913327027,0.3593519949945233
157,CEM.W,3780.638050956479,35201.25580491766,9.310929882857193
158,CEM.W,1088.5156164077337,529.6375957522702,0.48656867000232334
159,CEM.W,190.23925160795835,993.7702966634663,5.22379208425089
160,CEM.W,9291.992713855025,4806.05889837803,0.5172258573999797
161,CEM.W,42372.65975052857,129.89754031535207,0.0030655979841749657
162,CEM.W,1991.9587008627325,44203.75532314725,22.191100299419997
